title,company,location,description,salary_min,salary_max,created,category
Data Analyst,HCLTech,"Hyderabad, Telangana","HACKATHON - 29th Aug 26 - Planning for 2 skills GCP Data engineer - 11 positions , Band E - 8 yrs Data Analyst - 17, Band E - 8 yrs Location : Chennai/ Hyderabad/Bangalore Data analyst - JD Advanced SQL (BigQuery ideally) for querying and data manipulation Data quality checks, validation and reconciliation Working knowledge of data warehouse / lake concepts would be a bonus. GCP Data Engineer - JD Big query, DBT, pyspark Interview Process : Hacker-rank (coding test) - weekdays if possible Hacka…",,,2026-09-01T16:23:16Z,IT Jobs
Data Analyst,Quilytics,"Mumbai, Maharashtra","Company Description Quilytics is a quality-first data and analytics firm that helps organizations worldwide transform raw data into reliable, decision-ready insights. The company provides tailored consulting and implementation across marketing, sales, spend and procurement, logistics, HR, and other business functions. Quilytics follows a disciplined, outcome-driven process that prioritizes data privacy, explanability, and measurable impact from discovery through monitoring. Its services span da…",,,2026-09-01T16:23:15Z,IT Jobs
Data Analyst,Nians,India,"About the Role We are looking for a detail-oriented and analytical Data Analyst to join our remote team. The ideal candidate will collect, analyze, and interpret data to uncover actionable insights that support business decisions, improve marketing performance, and optimize operational efficiency. You will work closely with cross-functional teams to transform complex data into meaningful reports and recommendations. The Data Analyst will be responsible for collecting, cleaning, and analyzing da…",,,2026-09-01T16:23:20Z,IT Jobs
Data Analyst,EXL,"Chennai, Tamil Nadu","Bachelor’s degree with minimum 6 years’ experience as Data Analyst ● Highly numerate and passionate about data and analytics ● Excellent analytical and problem-solving skills, with knowledge of SQL & Data Visualization best practices. ● Self-starter with ability to work on own initiative and strong attention to detail, completing tasks to a very high degree of accuracy. ● Strong communication and presentation skills, able to evidence proven ability engage with senior stakeholders and influence …",,,2026-09-01T16:21:54Z,IT Jobs
Data Analyst,StoryTV App ,"Bangalore, Karnataka","About Eloelo Group Eloelo Group is one of India's fastest-growing consumer technology companies, building category-defining products at the intersection of content, technology, and culture. The Group's flagship products — Story TV in micro-drama and Master in micro-learning — have together placed two Eloelo apps in India's Top 10, reaching over 100 million Indians who consume short-form vertical content every day. Story TV is India's leading micro-drama platform, with 10M users and 500 original…",,,2026-09-01T16:20:32Z,"PR, Advertising & Marketing Jobs"
Data Analyst,Mastek,"Noida, Ghaziabad","Experience: 2–6 years Core Skills: Good SQL ( mandatory ), Python (good to have), Tableau or Power BI (good to have) Key Competencies: Strong hands-on experience in ETL, data cleaning, and data analysis Experience in creating and automating data workflows to support end-user use cases We would prefer candidates with a strong Data Analyst / Analytics background and would like to avoid profiles that are primarily focused on Data Engineering with PySpark, Databricks, Spark, etc.",,,2026-09-01T16:21:11Z,IT Jobs
Data Analyst,WhiteLotus Talent Partners,"Hyderabad, Telangana",Job Title- Data Analyst Location- Bangalore / Hyderabad Mode- Onsite Job Type: Full-Time Must have Skill: Python scripts Domain Insurance Required Skills & Experience • Good hands-on experience to create Python scripts for data frames and data analysis • Proven ability to analyze large datasets and identify data quality or consistency issues • Experience working directly with business users and translating business questions into requirements • Excellent communication skills (verbal and written…,,,2026-09-01T16:20:48Z,IT Jobs
Data Analyst,Netraon,India,"Company Description Netraon is a customer intelligence and market research company that helps organizations stay closely aligned with evolving customer needs. By transforming feedback, behavior data, and market signals into clear, actionable insights, Netraon enables businesses to respond more effectively to customer expectations. The company supports clients in understanding what customers truly want, tracking how competitors are evolving, and adapting quickly to market changes. In a constantl…",,,2026-09-01T16:22:38Z,IT Jobs
Data Analyst,AGOS Aviation,"Mumbai, Maharashtra","Hiring: Enterprise Data Analyst Location: Mumbai (Andher East) Experience: Open Employment Type: Full-Time About the Role We are looking for a highly analytical and tech-savvy Enterprise Data Analyst to transform data into actionable business insights. The ideal candidate will have experience in data analytics, business intelligence, AI-enabled solutions, and dashboard development, with a passion for solving business problems through data. Key Responsibilities Develop and maintain interactive d…",,,2026-09-01T16:21:48Z,IT Jobs
Data Analyst,AXSOT,India,"About Company AXSOT Capital is an independent investment firm focused on identifying and supporting high-potential technology companies. The firm invests primarily in areas such as Artificial Intelligence, SaaS, Fintech, and transformative technologies, with a focus on early- and growth-stage businesses. The team combines investment research, market intelligence, and data-driven analysis to identify promising companies and evaluate investment opportunities. Job Summary We are looking for an ana…",,,2026-09-01T16:22:38Z,Accounting & Finance Jobs
